,NB-Kaiser,NB-Remez,HB-IIR+WB-Kaiser,HB-IIR+WB-Remez,LIDL,CIDL,naive,base
140923_burning_sunn_LSTM-40,-83.1859969003833,-77.66184741971739,-80.03046250499436,-76.3306736324886,-76.23604183752069,-75.27500685423864,-77.81843188842926,-84.22760914872008
BossDs-1(Dist_12oclock),-69.81418977868877,-63.09335720904442,-67.58311207349931,-60.9928667099337,-65.25123119986497,-35.066646717289785,-65.93455359498026,-70.82209408179227
Cornish G2 (S10 T6 V10),-87.69909387008961,-84.88749103632637,-84.97732835379557,-82.89545470294,-84.43330239137866,-83.89936127099162,-82.52486849682515,-85.61221090332579
ODN-CP-AP-1D-S4-G6-MSL-HVY,-72.88902677897191,-68.18123478149896,-70.73897573120435,-66.38487661178145,-72.11334434951127,-71.6078648054644,-68.32986358580332,-71.99733426031176
ODN-DR-AP-1D-CH3-RED-PD1-HVY,-71.01048352847471,-67.1612245660217,-69.17231655589805,-65.60038719782202,-68.84889450666823,-68.108575385836,-66.26225354333528,-69.16160374497599
ODN-Greenie-AP-2B BLUE G5 B+F-HVY,-105.64686600288996,-93.96164066529522,-103.65854458910661,-94.67092196164275,6.630006566875999,6.658396669590559,-101.38978580814297,-107.23413317427722
ODN-HERBIE-AP-2B-L-KT77-HVY,-69.76656252317821,-65.92978595960606,-68.1224980390611,-62.98383322406089,-68.15458377643223,-68.04667378225916,-65.3676841287268,-67.60524993563814
ODN-PB-AP-2E-TUBE PILOT DRIVE 2-HVY,-65.28506616749145,-59.36613361230672,-65.46897543710404,-57.46657013258987,-59.43807027743344,-57.432062373736905,-63.67230774981188,-66.56257438364072
ProCoRatPedalGain7oclockFilter12oclock+Peavey212LeadChannelBoost(LSTM20),-87.29618394902856,-79.78671398977053,-88.82479055901007,-79.696921752342,-89.57659290166175,-89.139446436831,-87.04230956864507,-90.97493962573309
RevvG3_Pedal_Switch_Red_Gain_12_Oclock_LSTM20,-83.14981209445669,-74.49423378937385,-81.59808756917849,-73.49625981791328,-91.41064213519286,-90.82092203352697,-80.65542479983945,-82.68365527766682
SYN_PLEXI_6L6_AP-1B_BOOST_HVY,-71.3036413831,-68.3146645456309,-69.2245404511972,-66.2548264481987,-67.42041072838812,-66.56731270172071,-66.76724739809578,-69.17744535665116
Tech21-VTBass-C060-G060_high_CharlyR,-90.63504911978637,-82.82163231921649,-90.91427508522041,-81.51815262672852,-89.08265260541026,-88.72655474411712,-88.39919630472995,-93.93477417953967
bandmaster clean,-117.25197570607018,-97.79570517993803,-112.68054519483658,-99.62537865414247,-99.59594852612605,4.337066036331357,-115.2353174477182,-134.28905681512595
bandmaster high gain,-78.9716808018282,-72.23284711758077,-77.4791139350433,-72.66686950354595,-73.12173722745366,-71.92378873645684,-75.94554074701745,-80.65691746803984
bandmaster med gain,-92.97548296403778,-83.23051988433582,-90.24910299705529,-82.7829202000173,-88.08704838012285,-88.71235123521443,-88.63526573175757,-98.89320503766182
peavey_6505plus_lead_desktop_aidadsp,-66.55012036958432,-60.973961000107664,-64.6028758849148,-58.957828063170716,-64.19637136167445,-64.2024921087676,-61.63358841364204,-64.35986196244572
tw40_blues_deluxe_deerinkstudios,-114.29402587770805,-99.46084309884553,-113.16122709571094,-100.80590818998061,-115.45728835997373,-115.70930624378872,-114.70410164005125,-127.61189135680344
tw40_blues_solo_deerinkstudios,-102.04768089650452,-92.19302584138198,-103.73304621958596,-91.00375569925119,-100.04321146979638,-100.5973816339817,-100.69323998073332,-110.0222357483111
tw40_british_lead_deerinkstudios,-80.741043121527,-75.01864907438659,-78.55364678139227,-71.4484251317794,-74.68195240686435,-74.22164680642237,-74.90765528505345,-79.28965362583658
tw40_british_rhythm_deerinkstudios,-103.56438756481388,-92.91845240439625,-104.37623483234707,-92.31193002383681,-104.09850253269536,-104.32427367038876,-102.6713492683465,-110.58433473486436
tw40_california_clean_deerinkstudios,-112.23608189586649,-99.47117684713558,-111.91258700057642,-100.19869802620215,-111.43504208320614,-112.30225281261565,-111.35097981600376,-125.62265476181156
tw40_california_crunch_deerinkstudios,-107.15618809827323,-96.3057606798383,-107.37727786486647,-96.02390235159083,-104.94865862814154,-105.3902366245079,-104.65067728794916,-115.86744080916282
