,NB-Kaiser,NB-Remez,HB-IIR+WB-Kaiser,HB-IIR+WB-Remez,LIDL,CIDL,naive,base
140923_burning_sunn_LSTM-40,-84.05052825628228,-46.079158385882586,-79.63381322637726,-56.478316482192234,-47.265544723041906,-61.95807186761865,-30.10595113192143,
BossDs-1(Dist_12oclock),-70.62474230547035,-46.3417697338831,-71.79306509572795,-55.86506743201025,-49.50334997878792,-41.38854324822759,-26.589440295802568,
Cornish G2 (S10 T6 V10),-92.32019972041408,-57.342404339721355,-90.23448988748635,-71.5231331228924,-55.2897983776506,-78.88812441286042,-22.132254449596804,
ODN-CP-AP-1D-S4-G6-MSL-HVY,-71.51033525097782,-48.10393290211229,-71.01664493168319,-56.96249808658184,-48.54091797663134,-64.22991792800123,-25.804930997069313,
ODN-DR-AP-1D-CH3-RED-PD1-HVY,-71.45499549998236,-47.49883281394926,-72.05497599351771,-57.09822575051607,-48.84506501764624,-67.27942939449689,-19.753437663719605,
ODN-Greenie-AP-2B BLUE G5 B+F-HVY,-115.58024606087571,-56.13193446633345,-102.96966666173984,-71.17145222607026,-16.670982702805528,-7.062390800464388,-26.036258247040067,
ODN-HERBIE-AP-2B-L-KT77-HVY,-66.5530756606035,-46.01729259883942,-68.54503093416157,-54.12296486695593,-49.070084901783666,-65.42780742360618,-25.850004228288846,
ODN-PB-AP-2E-TUBE PILOT DRIVE 2-HVY,-67.61049749135809,-44.044288678922335,-67.12458373290474,-52.446977920641416,-38.22710267831213,-54.089250610910874,-17.862849230718965,
ProCoRatPedalGain7oclockFilter12oclock+Peavey212LeadChannelBoost(LSTM20),-93.54673246511032,-51.33834562179723,-89.49329132881768,-63.492522525359874,-50.05271857707778,-74.29917585227814,-27.093499663788283,
RevvG3_Pedal_Switch_Red_Gain_12_Oclock_LSTM20,-86.45714477679529,-45.12798870480971,-82.19115913812729,-57.74540278457064,-49.54851950483564,-68.81485742830803,-27.591896336632843,
SYN_PLEXI_6L6_AP-1B_BOOST_HVY,-68.0176631248003,-43.93583172701552,-69.8242758995609,-52.46576066159301,-44.846165150296386,-59.236022202338454,-21.244559376823624,
Tech21-VTBass-C060-G060_high_CharlyR,-98.42150504786531,-52.76065870835766,-94.58119990900762,-67.50224863664292,-53.38713183651378,-81.32924013941299,-32.57546531036153,
bandmaster clean,-139.68032284003414,-55.594238740804215,-110.12562797999384,-71.92675379177356,-67.52413200595491,-24.416032736001828,-36.045676358200986,
bandmaster high gain,-80.14775615980422,-48.59086006690468,-78.8341770134647,-59.64299172248082,-47.507569558526,-59.77727281396645,-29.21553974856183,
bandmaster med gain,-103.57554852195629,-55.14338406896607,-95.34211792901988,-68.71260080573244,-61.006603036957834,-88.3495234071281,-31.995860823779598,
peavey_6505plus_lead_desktop_aidadsp,-64.1226989760291,-42.91437038229037,-65.68224440732611,-52.21556229693429,-46.95343835037858,-59.86331998002579,-20.92827903000516,
tw40_blues_deluxe_deerinkstudios,-133.97299709649215,-55.62847318581539,-109.30393262901224,-71.82739592498845,-53.88216698258041,-94.1507580193029,-29.68977815427205,
tw40_blues_solo_deerinkstudios,-112.31867242309544,-55.401558751091734,-101.44091665493853,-69.10985906003906,-58.13046555509653,-90.35682735337375,-26.819426652199912,
tw40_british_lead_deerinkstudios,-74.9970703422067,-45.58512128289206,-74.8700578686669,-55.16353383898535,-48.62309984554056,-67.6563347013235,-24.599265279899804,
tw40_british_rhythm_deerinkstudios,-115.585366471305,-56.109909702870134,-102.72287114039354,-70.41962253063758,-53.82723388388756,-93.4659513530889,-28.326872958346442,
tw40_california_clean_deerinkstudios,-130.87654472640895,-56.0871130530793,-110.43488790005259,-72.56351803920634,-67.54698162127798,-105.79490877222578,-51.04236264844237,
tw40_california_crunch_deerinkstudios,-120.10191103228402,-55.76169354542472,-104.2763591582139,-70.71206202936295,-52.76211793720781,-90.5746431400928,-25.95889788147447,
