,NB-Kaiser,NB-Remez,HB-IIR+WB-Kaiser,HB-IIR+WB-Remez,LIDL,CIDL,naive,base
6505Plus_Red_DirectOut,-73.39300173635615,-43.39045411179124,-9.997685204706476,-9.952467058256456,-31.368435770819634,-50.20187993819873,-3.5985932742963045,
BlackstarHT40_AmpClean,-127.21338778488139,-55.7592436140738,-15.529806295062697,-15.514498468014931,-47.917612103731614,-94.51307357826327,-13.635408697922049,
BlackstarHT40_AmpHighGain,-100.8938737569883,-46.27029105954353,-10.470380199235905,-10.452752736140637,-33.02899970740999,-58.21533636137774,-6.151269006701088,
BossMT2_PedalHighGain,-92.78604879488934,-49.592652571863844,-11.099261082295765,-11.066394357890765,-43.28817490999461,-74.18934872630325,-10.748178603104863,
DumbleKit_HighG_DirectOut,-97.23003913171802,-44.827504466979796,-9.749594929860258,-9.718138092514282,-28.431497320517348,-55.14494881409594,-1.1304266790396835,
DumbleKit_LowG_DirectOut,-120.0734415503368,-54.918286613987945,-14.494147370737823,-14.477001869563379,-35.93290601095435,-80.11478191565466,-2.570057095610028,
GoatPedal_HighGain,-79.49772193984948,-50.59748532491986,-13.213609946471705,-13.186917097819906,-42.59420390423404,-67.31928544440417,-10.570321155100201,
LittleBigMuff_HighGainPedal,-97.09928557666822,-47.90868807065985,-12.78593609084502,-12.7565076462339,-55.35579273805599,-81.78018185408494,-17.082113717065713,
MatchlessSC30_Ch1_DirectOut,-123.49571687970305,-56.95371504416973,-15.464779102148968,-15.455043336420824,-49.476121127896725,-92.49677944371689,-14.0588389944553,
MesaIICplus_Drive8_5EQoff,-66.89009689752213,-45.15981516322051,-10.463169777946435,-10.406474593603303,-29.507716112047422,-55.47118515551138,-3.4763041329346036,
MesaMiniRec_HighGain_DirectOut,-63.299769624620666,-42.32153075391737,-9.433182050805515,-9.381042925700541,-48.599400621555375,-61.64383057844907,-14.019084044679728,
PlexiBreed_JTM_pedal,-125.97551383449145,-53.29912054777032,-14.022105451684002,-14.008667832405497,-41.76549564612478,-74.10362926931208,-6.143592363982037,
PrincetonAmp_Clean,-129.80895860858115,-56.481004060929536,-14.999315419773046,-14.98740436394766,-51.10317458923923,-94.77333644969727,-15.993650321754869,
ProcoRatPedal_HighGain,-101.85387321475129,-49.21856143185023,-12.26546970539631,-12.242656838368278,-47.789435021245346,-69.73435873980394,-15.299778639197593,
RockmanAcoustic_Pedal,-123.88978672296099,-55.301047398394786,-15.502823866327509,-15.486537113606992,-48.842642540117595,-97.79422191548883,-14.50569756611574,
RockmanXPR_HighGain,-79.7814655246563,-46.522345350579066,-11.90198556466957,-11.876811243642296,-41.77695715627681,-63.05385259696948,-8.579186634573917,
Sovtek50_StampedeDT_DIRECT,-47.652339370179064,-33.33495449669035,-3.12498961611687,-3.0440578376703558,-23.661263726671134,-31.585878699876115,-2.761313025977703,
Splawn_OD_FractalFM3_HighGain,-78.91442741664083,-47.52326495456325,-11.358017472582583,-11.321767466620585,-44.76531366982519,-60.52792780837215,-11.971670484981923,
XComp_Pedal,-135.65607747502472,-59.489119767965185,-15.25240343299227,-15.244247040737088,-67.15719054094393,-108.362799672939,-26.843768438827468,
