,NB-Kaiser,NB-Remez,HB-IIR+WB-Kaiser,HB-IIR+WB-Remez,LIDL,CIDL,naive,base
6505Plus_Red_DirectOut,76.59343471399713,68.72515593928489,75.43913483995192,69.43283801073953,111.76832856119603,106.5543600015129,77.42419925495,74.79130825593145
BlackstarHT40_AmpClean,113.91249282486045,98.94355538536648,114.52485727076224,101.31581422385993,163.44993351626633,163.90125815508543,115.1673309493275,115.22423883141978
BlackstarHT40_AmpHighGain,96.22530535221937,83.15679159677894,95.9300395999895,85.24615825170886,128.67820140860303,129.61845074163918,97.7106533788584,95.98094834238282
BossMT2_PedalHighGain,90.23587058273488,80.4831376066489,89.02314623218868,80.36598073389013,120.07318944974027,120.25519301248401,90.9964183786142,88.72622363252908
DumbleKit_HighG_DirectOut,102.04650874569614,94.82484816719352,100.40975153172347,95.34043258483513,134.90863505466305,129.24162494702497,102.423137214414,100.00172405248087
DumbleKit_LowG_DirectOut,104.22974040415221,98.76285119573983,104.29891713371727,100.43195508219956,170.66028008848423,168.5365570329657,104.20546938304282,104.29958050626986
GoatPedal_HighGain,73.26458192498218,64.88206941580864,73.2818693555984,64.33727125403325,109.51455355732854,109.61835082527814,74.68229747755221,73.00366941793253
LittleBigMuff_HighGainPedal,100.72873062976673,92.75983625229227,98.66428521173785,91.85066828904374,122.90841852643611,123.00550142436391,101.87754807082828,98.41090717565162
MatchlessSC30_Ch1_DirectOut,111.72883491783837,93.40175064426943,113.3201921677951,94.72518739320059,159.80324338207555,160.30038351558727,115.73814731384988,114.77001637752379
MesaIICplus_Drive8_5EQoff,67.18245727861854,61.78245527730287,65.01298811088212,60.43186646972516,89.91420790431953,85.06673706411893,68.86967487921856,64.48366141437151
MesaMiniRec_HighGain_DirectOut,60.046081870590136,55.71815263858259,60.16377600903101,54.40555966913091,78.89710872615673,78.86013979056474,62.44270306041721,59.526293670412194
PlexiBreed_JTM_pedal,116.05805086987216,100.84693892658301,116.01396930847994,102.34170618318271,156.7401359441217,156.49295810575111,119.43715355564812,117.51541157139049
PrincetonAmp_Clean,117.39196993367833,98.46985359341434,119.01279920854337,100.89424963332931,161.3818309543335,161.33694812919373,122.63863871895819,121.69179058046608
ProcoRatPedal_HighGain,105.28063440611868,93.75225320432527,103.54765637734668,93.17269359444941,129.37339868312677,128.3166348113537,107.6637862288141,104.17164544328584
RockmanAcoustic_Pedal,106.22311290121405,83.75755434731096,107.94207360323873,84.92995567359604,163.2294260725666,164.46432441005268,112.9164538449209,111.81950388833589
RockmanXPR_HighGain,78.93540476508518,71.64926524874274,78.11899675656791,71.09251188130402,116.57682235326746,117.04090197395304,80.06464300538374,77.65001645864416
Sovtek50_StampedeDT_DIRECT,53.51276539189908,49.53875222001381,52.301586319827315,47.27917596443533,73.70490872666505,68.24760709809229,56.02271723779613,51.683377663814696
Splawn_OD_FractalFM3_HighGain,75.49478369525113,68.75494877761165,75.49851447203604,69.5787359035299,101.4193075393289,101.58127539030805,76.85817942246173,75.35868835575347
XComp_Pedal,120.70291910542936,100.8777050726981,122.09135083459346,103.3284159609184,167.16736507016552,167.30672761739504,128.27104276106323,127.06655173656914
