,base,M=4_FFT,M=8_C-HB-IIR,M=2_C-HB-IIR,M=4_C-HB-IIR,M=8_C-HB-FIR,M=2_FFT,M=8_FFT,M=4_C-HB-FIR,M=2_C-HB-FIR
BadCat50_HighGain_DIRECT,-67.64598429020143,-150.57964059205318,-107.01401657946552,-106.43992300307018,-107.01722421076961,-93.14803041632246,-116.44183526928124,-152.16358536064655,-93.19985599055643,-93.33852131365926
BadCat50_HighGain_PREAMP,-68.36607223273641,-152.45552425851767,-107.54312899848483,-107.26502755930623,-107.53912886064539,-94.42443040291393,-120.74019829780036,-152.41643523532545,-94.47664015131619,-94.76831828843439
BlackstarHT40_AmpHighGain,-95.98094834238282,-155.34990682317175,-147.80637448612444,-147.7109603907065,-147.80387015242036,-130.81881306286988,-153.12236645561836,-155.00756921287916,-130.88517639323263,-131.29667260213807
BossMT2_PedalHighGain,-88.72622363252908,-150.16745125439786,-144.77353360843082,-144.77873397467724,-144.77496825753906,-118.62895755738813,-145.91110367402572,-149.84094673800192,-118.70357541126528,-119.18672064115249
GoatPedal_HighGain,-73.00366941793253,-147.4561188897588,-137.05895262649,-135.49781644841497,-137.02499482378533,-113.58302436877987,-131.28306677672578,-151.1719960538009,-113.6481119698949,-113.17704575595214
LittleBigMuff_HighGainPedal,-98.41090717565162,-152.83331173460746,-133.90172194426762,-133.90141599438238,-133.90134692895558,-120.94254072181634,-154.48714120093092,-152.46846954432024,-121.00056816474594,-121.37281472671408
MesaMiniRec_HighGain_DirectOut,-59.526293670412194,-142.65436955891258,-96.68900107498335,-95.45113448479393,-96.6773502148922,-86.56444074120246,-110.21198186371525,-151.0025802752149,-86.5971973903425,-86.17421735540407
ProcoRatPedal_HighGain,-104.17164544328584,-153.28969774270638,-143.0846562506291,-143.086824826916,-143.0850105834532,-125.0246881501852,-154.88399620945867,-152.92406860768367,-125.09245373858651,-125.52763899416
RockmanXPR_HighGain,-77.65001645864416,-153.4240453503727,-138.10739266331032,-137.74382033724163,-138.10460857461047,-116.61203116532806,-145.71789882932416,-153.05593006900287,-116.67365161847755,-116.90885365985902
SLO_HighGain_GainKnob,-55.1177595079728,-103.53868154696482,-93.70711375476156,-88.95333617815302,-93.32140692616325,-81.4208615391819,-81.32618451649033,-125.03291647455568,-81.37595060114845,-78.33909906281798
Splawn_OD_FractalFM3_HighGain,-75.35868835575347,-153.97871739098207,-122.66866879771977,-121.31960671176316,-122.6709986715659,-109.79954283760898,-125.8259614145612,-154.58067605545392,-109.8511023501463,-109.48704763149986
TRexMudhoney_plus_PorkLoin_HighGain,-76.21207732985071,-153.35158838802164,-112.91605445389818,-112.76960235530947,-112.91630981920706,-100.37100525608808,-129.7618672490066,-153.00741501762988,-100.41440032488727,-100.67686878900177
YamahaT50_HighGain-mid4_DIRECT,-63.12675749207065,-142.65690958403465,-98.52472966810411,-98.18014610851213,-98.52543342008279,-87.20901750004073,-113.63844827542371,-142.637240751787,-87.25294086891967,-87.4383982968334
YamahaT50_HighGain-mid6_DIRECT,-62.940867234681335,-145.08849059907374,-97.45858123030565,-97.19015126897412,-97.45952252392294,-87.19203410163335,-114.62180318507423,-145.85976917972258,-87.23350165716028,-87.45304884752241
