,base,M=4_FFT,M=8_C-HB-IIR,M=2_C-HB-IIR,M=4_C-HB-IIR,M=8_C-HB-FIR,M=2_FFT,M=8_FFT,M=4_C-HB-FIR,M=2_C-HB-FIR
BadCat50_HighGain_DIRECT,,-120.61000675484539,-6.808000896526957,-9.527049331608744,-7.494174707056854,-75.38675726109402,-120.82532837480967,-120.61001050292602,-75.3878348447235,-75.38957943171596
BadCat50_HighGain_PREAMP,,-124.9073280616887,-8.52289083933291,-11.82252773370207,-9.392624307597629,-75.30511737524127,-125.06455212677406,-124.9073325872216,-75.30843829018683,-75.31950055782163
BlackstarHT40_AmpHighGain,,-118.10119103866604,-6.4118343735605325,-10.470149006088906,-7.441364350133987,-106.97219037268924,-118.10119103772459,-118.10119104090764,-107.0856851054591,-107.329626684827
BossMT2_PedalHighGain,,-121.23134545924431,-7.653282766131295,-11.098665726721215,-8.461660321716069,-95.61558257886476,-121.23134557556841,-121.23134540186601,-95.68169917257497,-95.80901446143162
GoatPedal_HighGain,,-115.6061440695553,-9.514841477353828,-13.212569051853325,-10.43269245222787,-86.8746252936446,-115.60614423409173,-115.60614406100194,-86.89957780742253,-86.97192319292613
LittleBigMuff_HighGainPedal,,-119.63323785241346,-8.876732957555648,-12.785391760562675,-9.889786178333438,-103.13228029639272,-119.6332379634795,-119.63323781850085,-103.14826892405385,-103.1854098293611
MesaMiniRec_HighGain_DirectOut,,-123.73113882239845,-6.6541645270852765,-9.429015175071878,-7.366084159611986,-72.76127958731603,-123.9819427710193,-123.73111470865992,-72.7638118379054,-72.77064852662176
ProcoRatPedal_HighGain,,-120.63820625846657,-8.385935337506783,-12.265131068606973,-9.388959916770643,-105.00168080414348,-120.63820641697421,-120.6382062135147,-105.03829208907527,-105.09467857702157
RockmanXPR_HighGain,,-110.80061161669322,-8.158024913771861,-11.901208202419447,-9.074133442063888,-88.60678263691786,-110.80060845040734,-110.80061143773214,-88.62163621148248,-88.64904785544061
SLO_HighGain_GainKnob,,-125.01196752585729,-6.491754468392878,-9.276604763634687,-7.20311192751558,-72.06247278312632,-125.62028041222162,-124.59871196409482,-72.08060382767621,-72.11795582776938
Splawn_OD_FractalFM3_HighGain,,-123.4251586181755,-7.98624166660442,-11.356844628821456,-8.849149502752327,-89.93588894021376,-123.50284998219522,-123.42530769724772,-89.93889737852963,-89.94569717944286
TRexMudhoney_plus_PorkLoin_HighGain,,-126.91110498096846,-7.445514723586448,-11.409454716063568,-8.472064211486986,-86.6319944096013,-126.92985767033741,-126.91110470423111,-86.63683986742618,-86.64776513904624
YamahaT50_HighGain-mid4_DIRECT,,-120.08931445735107,-5.219929287878375,-7.683812889528652,-5.832990326365981,-70.40700882946425,-120.4846944549127,-120.08930851972568,-70.40899531835417,-70.41507058671638
YamahaT50_HighGain-mid6_DIRECT,,-117.37995332224273,-5.213135959487732,-7.860108942575447,-5.890759550592024,-70.77064246919343,-117.52818889987037,-117.37994450918865,-70.77797847301514,-70.79604019486294
