,base,M=4_FFT,M=8_C-HB-IIR,M=2_C-HB-IIR,M=4_C-HB-IIR,M=8_C-HB-FIR,M=2_FFT,M=8_FFT,M=4_C-HB-FIR,M=2_C-HB-FIR
BadCat50_HighGain_DIRECT,,-124.50034501464889,-92.47869151726633,-92.4796042269719,-92.48210197785282,-76.08161283018484,-124.76252191592216,-124.50033997017061,-76.0834011375302,-76.08696157951573
BadCat50_HighGain_PREAMP,,-127.75154410197705,-92.57561908084266,-92.59369916844156,-92.58372610508394,-76.12339056703682,-127.9127447142444,-127.75155117093254,-76.12991367435596,-76.1519773754819
BlackstarHT40_AmpHighGain,,-122.34778980364595,-119.3176211092606,-119.31717274963984,-119.31766733783665,-108.50301724774695,-122.34778982957606,-122.34778979585859,-108.65730596020694,-109.01534655141545
BossMT2_PedalHighGain,,-127.25198035657517,-110.30454648301694,-110.30391057738898,-110.30460922913645,-97.68673360048409,-127.25198064157144,-127.25198027648602,-97.80140829733942,-98.0767452597154
GoatPedal_HighGain,,-120.35341401099198,-102.16084971592849,-102.15998522127823,-102.16090998017961,-87.79708869284546,-120.35341423043457,-120.35341400210547,-87.8338918724823,-87.95280325359462
LittleBigMuff_HighGainPedal,,-133.786780672845,-121.82996598761738,-121.84621053831664,-121.83751675325561,-106.21741042555124,-133.7867836004131,-133.78677988817563,-106.28094132288979,-106.46484250747027
MesaMiniRec_HighGain_DirectOut,,-129.65658307711502,-90.44866147342387,-90.4746516657307,-90.4593249643845,-73.82274015559993,-129.8682695609294,-129.6565125483793,-73.82819384766313,-73.84247715415904
ProcoRatPedal_HighGain,,-129.75779318453422,-123.27012380346902,-123.27918807282494,-123.27428568317563,-109.00794419623199,-129.75779847990282,-129.7577917598344,-109.0969318558988,-109.3332861551347
RockmanXPR_HighGain,,-113.65429185583231,-102.64257029034421,-102.6419475102981,-102.64262097737804,-89.42044936649009,-113.65428802473185,-113.65429161568909,-89.4390752279125,-89.47746708092099
SLO_HighGain_GainKnob,,-130.17245957373723,-89.5970579210266,-89.59830233889979,-89.60432952482348,-72.97079669268278,-130.7654053143188,-129.74774915795862,-73.00532058950512,-73.08309032235496
Splawn_OD_FractalFM3_HighGain,,-128.42202941765683,-107.54849332300178,-107.54623258512365,-107.55042424357988,-91.48626467594832,-128.46670204514257,-128.42211641666717,-91.49556732241562,-91.51752767779921
TRexMudhoney_plus_PorkLoin_HighGain,,-137.77123115113315,-106.1967896932444,-106.21166414378017,-106.20754440502638,-88.72164226655109,-137.83723660915973,-137.77123103520515,-88.75773864216121,-88.87660921226149
YamahaT50_HighGain-mid4_DIRECT,,-125.18324745765545,-88.45194150398423,-88.46288309845086,-88.45889322673679,-71.31062870075473,-125.5201027634931,-125.18322749989308,-71.3136628702388,-71.32509765820733
YamahaT50_HighGain-mid6_DIRECT,,-124.99287062347275,-88.89890462278176,-88.92022403259342,-88.90879547940739,-71.73548564553063,-125.33263220354365,-124.9928578774075,-71.75058108099269,-71.79150503514354
