,base,M=4_FFT,M=8_C-HB-IIR,M=2_C-HB-IIR,M=4_C-HB-IIR,M=8_C-HB-FIR,M=2_FFT,M=8_FFT,M=4_C-HB-FIR,M=2_C-HB-FIR
BadCat50_HighGain_DIRECT,-31.780774373051962,-121.01806255260298,-116.05176162450167,-90.18808602214143,-115.22287891221026,-111.41788870380911,-90.34694695766002,-122.20178365528218,-110.41092852526889,-88.72350005969359
BadCat50_HighGain_PREAMP,-31.768051716936373,-120.27899219545384,-116.29700471715073,-91.11729829670627,-116.20584570959458,-111.07202800005524,-90.45381314819333,-120.43518941834746,-110.96083976728274,-89.75353585066489
BlackstarHT40_AmpHighGain,-55.857140533323154,-120.77219050306608,-120.32831970269511,-113.3768678299237,-120.33790174348665,-118.5766707323222,-113.36842912556064,-120.77218805316788,-118.57666095420062,-112.79719360593771
BossMT2_PedalHighGain,-53.61661319194126,-121.23518928477043,-119.30171481146259,-116.45032251620229,-119.30351086020966,-114.9069541680598,-116.50991860714397,-121.23521891192765,-114.90694142827004,-113.6234518343757
GoatPedal_HighGain,-30.92706985285713,-114.71075237743784,-110.99568189320313,-95.8304523267801,-108.92954233138107,-107.33027147995799,-97.18489477566006,-119.17092493692512,-105.19575372709522,-93.29818242960023
LittleBigMuff_HighGainPedal,-62.090819813137685,-123.13300954643229,-122.69592153855638,-122.7299885056227,-122.6920355447762,-117.53888423244497,-123.11479086140228,-123.13298976774222,-117.53888822361978,-117.47677209636508
MesaMiniRec_HighGain_DirectOut,-27.473620450187294,-110.88942338814694,-107.06994639636947,-80.78731064508233,-102.56508750837088,-101.62663024412201,-80.48584010290641,-118.46986117104453,-96.40637005409998,-78.19588182601606
ProcoRatPedal_HighGain,-61.695843400838754,-120.72950893483436,-124.35964444074406,-124.23182750278619,-124.35594626076309,-120.27650100211176,-120.64578903972448,-120.7295134760181,-120.27649846233201,-120.1036893576722
RockmanXPR_HighGain,-35.1367975937025,-120.44826230955883,-116.69692358458563,-110.42995337159961,-116.72883957566889,-112.11320940917236,-112.2156745582755,-120.4503666584701,-112.11291171955769,-106.71438261497327
SLO_HighGain_GainKnob,-18.666471384511173,-69.83953842836762,-96.60264143523194,-59.32514564227124,-79.47614257945155,-92.18398426316192,-49.11636969385932,-88.10209562410763,-75.64515642854104,-57.63531409552226
Splawn_OD_FractalFM3_HighGain,-31.47394539922842,-119.18880765739382,-114.84828243069214,-88.63273185504227,-113.93470721935165,-110.95195256077741,-88.64971364234738,-121.01817984897839,-110.0003520288876,-86.95065933229034
TRexMudhoney_plus_PorkLoin_HighGain,-34.395515979333645,-118.48770078625192,-111.61341888638877,-94.92800282445859,-111.6314126901526,-105.4327771714009,-95.57561749841257,-118.48785835414787,-105.43262610622955,-91.43903519540189
YamahaT50_HighGain-mid4_DIRECT,-37.45670658374008,-112.70643037161635,-117.54847390052001,-94.68855581208044,-117.35503545523137,-111.18805386997207,-93.03778000840735,-112.71435253810097,-110.98081110550261,-92.60532374371591
YamahaT50_HighGain-mid6_DIRECT,-36.725855662996054,-114.20046194410061,-117.65567093894674,-93.3947692355301,-116.49590662058368,-111.47921515139036,-92.1888344044328,-114.6619413458369,-110.29016267928446,-91.01034445245296
